Level,Difficulty,With Crawling (Prompt),Actual Elements Used (from crawl),Without Crawling (Prompt),Inferred Elements,Element Match Analysis
L1,Simple,"Go to the Microsoft 365 page.","[link] Microsoft 365 ✅","Show me the latest Surface laptops.","['search bar', 'product category']","✅ With-crawl correctly uses [link] Microsoft 365 found on page"
L1,Simple,"Search for the latest Surface Pro.","[search] Search Expanded ✅, [input] ✅","Find Microsoft 365 pricing plans.","['pricing table', 'subscription link']","✅ With-crawl uses actual [search] and [input] elements"
L1,Simple,"Open the All Microsoft menu.","[button] All Microsoft ✅","Search for Xbox Series X consoles.","['search input']","✅ With-crawl uses exact button: 'All Microsoft'"
L1,Simple,"Find the Windows download section.","[link] Windows ✅, [button] Windows ✅","Open the student discount page.","['footer links', 'education section']","✅ With-crawl knows [link] Windows exists"
L1,Simple,"Click on the Copilot link.","[link] Copilot ✅","Look for Windows 11 download options.","['software download link']","✅ With-crawl knows [link] Copilot exists"
L2,Easy,"Compare all the different Microsoft 365 plans available for home.","[tab] Microsoft 365 ✅, [link] See plans and pricing ✅","I want to buy a Surface Pro 9 with at least 16GB RAM.","['product filters', 'specifications']","✅ With-crawl uses [tab] and [link] elements"
L2,Easy,"Go to the Teams page and find the group chat software.","[link] Teams ✅, [link] Chat ✅, [accordion] Chat and collaboration ✅","Find me a wireless mouse that is compatible with a Mac computer.","['compatibility filters', 'accessories']","✅ With-crawl knows Teams has Chat accordion"
L2,Easy,"Find the FAQ section on the Microsoft 365 Family product page.","[link] FAQ ✅","Show me all the available Xbox games that are currently on sale.","['deals section', 'gaming category']","✅ With-crawl knows [link] FAQ exists"
L2,Easy,"Open the search bar and look for Xbox Game Pass deals.","[search] Search Expanded ✅, [link] Xbox Game Pass Ultimate ✅","Check the technical specifications for the new Surface Laptop Studio 2 model.","['tech specs tab', 'product details']","✅ With-crawl uses actual [link] Xbox Game Pass Ultimate"
L2,Easy,"Expand the Software accordion in the footer to see all links.","[accordion] Software ✅","I need to find the support page for fixing Windows update errors.","['support search', 'help articles']","✅ With-crawl knows [accordion] Software exists"
L3,Medium,"Navigate to Microsoft 365 Family page and switch the pricing toggle to show the cost when paid yearly.","[button] Yearly ✅, [button] Monthly ✅","Compare the features of Microsoft 365 Family versus Personal to see which one allows for more users.","['comparison table', 'plan details']","✅ With-crawl knows [button] Yearly and Monthly exist"
L3,Medium,"Go to Copilot page and type a message asking about how AI can help me write code faster.","[textarea] Message Copilot ✅, [link] Copilot ✅","Find a black Xbox controller and add it to my shopping cart so I can see the total price with tax.","['color picker', 'add to cart button']","✅ With-crawl uses exact [textarea] 'Message Copilot'"
L3,Medium,"Find the system requirements for Windows 11 by navigating through the Windows section and clicking the requirements tab.","[link] Windows 11 specs & requirements ✅","Search for the most expensive Surface Pro configuration and tell me what the total storage capacity is for that model.","['sort by price', 'configuration options']","✅ With-crawl knows exact requirement link text"
L3,Medium,"Open the All Microsoft dropdown and find the link for Developer and IT resources.","[button] All Microsoft ✅, [accordion] Developer & IT ✅","I am looking for a business laptop with a 15 inch screen.","['business store toggle', 'screen size filter']","✅ With-crawl uses [accordion] Developer & IT"
L3,Medium,"Go to the Microsoft 365 comparison page and find the specific column that lists features for the Personal plan.","[link] For single users ✅, [link] For families ✅","Go to the deals section and find any noise cancelling headphones on sale.","['deals page', 'category filtering']","✅ With-crawl knows exact plan link names"
L4,Hard,"Find the buy now or compare plans section, and tell me the price for the Family plan when paying for a full year.","[link] Buy now ✅, [button] Yearly ✅, [link] For families ✅","Find a Surface Laptop under eighty thousand rupees with touch screen in sandstone color.","['price filter', 'attribute filter', 'stock status']","✅ With-crawl uses [link] Buy now and [button] Yearly"
L4,Hard,"Look for the tab or link that mentions technical requirements or specifications.","[link] Windows 11 specs & requirements ✅","Find support documentation for upgrading from Windows 10 to Windows 11.","['support search', 'technical requirements']","✅ With-crawl knows exact link text available"
L4,Hard,"Find the form to stay informed about special deals and click into the input field for email.","[link] Register now ✅, [input] ✅","Buy Xbox Series S starter bundle and add a wireless controller in Robot White.","['bundle search', 'multi-item cart']","✅ With-crawl knows [link] Register and [input] exist"
L4,Hard,"Find the FAQ section to see info about how many people can join a meeting or chat group.","[link] FAQ ✅, [accordion] Chat and collaboration ✅","Find Microsoft 365 Business Premium security features compared to Standard.","['feature list', 'trial button', 'comparison']","✅ With-crawl knows FAQ link exists on Teams page"
L4,Hard,"Open the search tool and type 'Microsoft Defender'. Find the specific tab for Microsoft Defender.","[search] Search Expanded ✅, [tab] Microsoft Defender ✅","Find Surface Pro 9 accessories - Signature Keyboard with Slim Pen 2 in Forest color.","['accessory search', 'color selection', 'promo banners']","✅ With-crawl knows [tab] Microsoft Defender exists"
L5,Expert,"Find the Family plan, ensure the 'Paid yearly' tab is selected, then locate requirements for installation.","[button] Yearly ✅, [link] For families ✅, [link] FAQ ✅","Find the most powerful Surface Studio 2+ and add extended warranty and accessories.","['configuration', 'add-ons', 'cross-selling', 'cart total']","✅ With-crawl uses actual button/link names"
L5,Expert,"Find the chat interface where it says 'Message Copilot'. Type question about productivity in Excel.","[textarea] Message Copilot ✅","Find business version, locate bulk pricing section for 5 Surface Laptop Go 3 units.","['business portal', 'quantity selection', 'financing info']","✅ With-crawl knows exact textarea placeholder text"
L5,Expert,"Find the language selector form with Hindi, Bengali, Marathi options. Click language selection tool.","[select] Search Suggestions ✅, [link] English (India) ✅","Find Microsoft Teams desktop app download and troubleshooting guide for microphone issues.","['download flow', 'deep-link support', 'content search']","✅ With-crawl knows [link] English (India) exists"
L5,Expert,"Find 'Overview' tab, click 'All Microsoft' button, expand 'Software' accordion for Teams download link.","[accordion] Software ✅, [link] Download Teams ✅, [button] All Microsoft ✅","Compare Xbox Game Pass Ultimate vs PC Game Pass and find first month discount offer.","['subscription comparison', 'promotional text', 'legal links']","✅ With-crawl knows exact accordion and link names"
L5,Expert,"Use search for 'Windows 11 Pro'. Find 'Requirements' tab and 'FAQ' tab for upgrading from Windows 10.","[search] Search Expanded ✅, [link] FAQ ✅, [link] Windows 11 specs & requirements ✅","Filter deals for Education discounts, find laptop under 1 lakh with i7 and 16GB RAM.","['complex filtering', 'geo-specific shipping', 'spec search']","✅ With-crawl knows exact tab and link names"
---,---,---,---,---,---,---
SUMMARY,ANALYSIS,Total Elements from Crawl: 1413,Unique Element Types: button link search select accordion tab input textarea,Without Crawl: No actual elements,All elements are inferred/assumed,With-crawl prompts reference 100% discoverable elements
